(100, 200)
(200, 100)
(100, 0)
(0, 100)
(101, 200)
(200, 101)
(200, 99)
(101, 0)
(99, 0)
(0, 99)
(0, 101)
(99, 200)
(102, 200)
(200, 102)
(200, 98)
(102, 0)
(98, 0)
(0, 98)
(0, 102)
(98, 200)
(103, 200)
(200, 103)
(200, 97)
(103, 0)
(97, 0)
(0, 97)
(0, 103)
(97, 200)
(104, 200)
(200, 104)
(200, 96)
(104, 0)
(96, 0)
(0, 96)
(0, 104)
(96, 200)
(105, 200)
(200, 105)
(200, 95)
(105, 0)
(95, 0)
(0, 95)
(0, 105)
(95, 200)
(106, 200)
(200, 106)
(200, 94)
(106, 0)
(94, 0)
(0, 94)
(0, 106)
(94, 200)
(107, 200)
(200, 107)
(200, 93)
(107, 0)
(93, 0)
(0, 93)
(0, 107)
(93, 200)
(108, 200)
(200, 108)
(200, 92)
(108, 0)
(92, 0)
(0, 92)
(0, 108)
(92, 200)
(109, 200)
(200, 109)
(200, 91)
(109, 0)
(91, 0)
(0, 91)
(0, 109)
(91, 200)
(110, 199)
(199, 110)
(199, 90)
(110, 1)
(90, 1)
(1, 90)
(1, 110)
(90, 199)
(111, 199)
(199, 111)
(199, 89)
(111, 1)
(89, 1)
(1, 89)
(1, 111)
(89, 199)
(112, 199)
(199, 112)
(199, 88)
(112, 1)
(88, 1)
(1, 88)
(1, 112)
(88, 199)
(113, 199)
(199, 113)
(199, 87)
(113, 1)
(87, 1)
(1, 87)
(1, 113)
(87, 199)
(114, 199)
(199, 114)
(199, 86)
(114, 1)
(86, 1)
(1, 86)
(1, 114)
(86, 199)
(115, 199)
(199, 115)
(199, 85)
(115, 1)
(85, 1)
(1, 85)
(1, 115)
(85, 199)
(116, 199)
(199, 116)
(199, 84)
(116, 1)
(84, 1)
(1, 84)
(1, 116)
(84, 199)
(117, 199)
(199, 117)
(199, 83)
(117, 1)
(83, 1)
(1, 83)
(1, 117)
(83, 199)
(118, 198)
(198, 118)
(198, 82)
(118, 2)
(82, 2)
(2, 82)
(2, 118)
(82, 198)
(119, 198)
(198, 119)
(198, 81)
(119, 2)
(81, 2)
(2, 81)
(2, 119)
(81, 198)
(120, 198)
(198, 120)
(198, 80)
(120, 2)
(80, 2)
(2, 80)
(2, 120)
(80, 198)
(121, 198)
(198, 121)
(198, 79)
(121, 2)
(79, 2)
(2, 79)
(2, 121)
(79, 198)
(122, 198)
(198, 122)
(198, 78)
(122, 2)
(78, 2)
(2, 78)
(2, 122)
(78, 198)
(123, 197)
(197, 123)
(197, 77)
(123, 3)
(77, 3)
(3, 77)
(3, 123)
(77, 197)
(124, 197)
(197, 124)
(197, 76)
(124, 3)
(76, 3)
(3, 76)
(3, 124)
(76, 197)
(125, 197)
(197, 125)
(197, 75)
(125, 3)
(75, 3)
(3, 75)
(3, 125)
(75, 197)
(126, 197)
(197, 126)
(197, 74)
(126, 3)
(74, 3)
(3, 74)
(3, 126)
(74, 197)
(127, 196)
(196, 127)
(196, 73)
(127, 4)
(73, 4)
(4, 73)
(4, 127)
(73, 196)
(128, 196)
(196, 128)
(196, 72)
(128, 4)
(72, 4)
(4, 72)
(4, 128)
(72, 196)
(129, 196)
(196, 129)
(196, 71)
(129, 4)
